date,home_team,home_score,away_score,away_team,neutral,tournament_name,tournament_year
2017-10-10,Maldives,1,3,Oman,False,AFC Asian Cup qualification,2017
2017-10-10,Palestine,10,0,Bhutan,False,AFC Asian Cup qualification,2017
2017-10-10,Taiwan,2,1,Bahrain,False,AFC Asian Cup qualification,2017
2017-10-10,Tajikistan,3,0,Nepal,False,AFC Asian Cup qualification,2017
2017-10-10,Turkmenistan,2,1,Singapore,False,AFC Asian Cup qualification,2017
2017-10-10,Vietnam,5,0,Cambodia,False,AFC Asian Cup qualification,2017
2017-10-10,Yemen,1,1,Philippines,True,AFC Asian Cup qualification,2017
2017-10-11,India,4,1,Macau,False,AFC Asian Cup qualification,2017
2017-11-10,North Korea,4,1,Malaysia,True,AFC Asian Cup qualification,2017
2017-11-13,Malaysia,1,4,North Korea,True,AFC Asian Cup qualification,2017
2017-11-14,Bhutan,2,4,Oman,False,AFC Asian Cup qualification,2017
2017-11-14,Cambodia,0,1,Jordan,False,AFC Asian Cup qualification,2017
2017-11-14,Hong Kong,0,1,Lebanon,False,AFC Asian Cup qualification,2017
2017-11-14,India,2,2,Myanmar,False,AFC Asian Cup qualification,2017
2017-11-14,Macau,3,4,Kyrgyzstan,False,AFC Asian Cup qualification,2017
2017-11-14,Nepal,0,0,Philippines,False,AFC Asian Cup qualification,2017
2017-11-14,Palestine,8,1,Maldives,False,AFC Asian Cup qualification,2017
2017-11-14,Singapore,0,3,Bahrain,False,AFC Asian Cup qualification,2017
2017-11-14,Tajikistan,0,0,Yemen,False,AFC Asian Cup qualification,2017
2017-11-14,Turkmenistan,2,1,Taiwan,False,AFC Asian Cup qualification,2017
2017-11-14,Vietnam,0,0,Afghanistan,False,AFC Asian Cup qualification,2017
2018-03-22,Kyrgyzstan,5,1,Myanmar,True,AFC Asian Cup qualification,2018
2018-03-27,Afghanistan,2,1,Cambodia,True,AFC Asian Cup qualification,2018
2018-03-27,Bahrain,4,0,Turkmenistan,False,AFC Asian Cup qualification,2018
2018-03-27,Myanmar,1,0,Macau,False,AFC Asian Cup qualification,2018
2018-03-27,Jordan,1,1,Vietnam,False,AFC Asian Cup qualification,2018
2018-03-27,North Korea,2,0,Hong Kong,False,AFC Asian Cup qualification,2018
2018-03-27,Kyrgyzstan,2,1,India,False,AFC Asian Cup qualification,2018
2018-03-27,Lebanon,2,1,Malaysia,False,AFC Asian Cup qualification,2018
2018-03-27,Maldives,7,0,Bhutan,False,AFC Asian Cup qualification,2018
2018-03-27,Oman,1,0,Palestine,False,AFC Asian Cup qualification,2018
2018-03-27,Philippines,2,1,Tajikistan,False,AFC Asian Cup qualification,2018
2018-03-27,Taiwan,1,0,Singapore,False,AFC Asian Cup qualification,2018
2018-03-27,Yemen,2,1,Nepal,True,AFC Asian Cup qualification,2018
2021-10-07,Indonesia,2,1,Taiwan,True,AFC Asian Cup qualification,2021
2021-10-09,Guam,0,1,Cambodia,True,AFC Asian Cup qualification,2021
2021-10-11,Taiwan,0,3,Indonesia,True,AFC Asian Cup qualification,2021
2021-10-12,Cambodia,2,1,Guam,True,AFC Asian Cup qualification,2021
2022-06-08,Kuwait,1,2,Indonesia,False,AFC Asian Cup qualification,2022
2022-06-08,Jordan,2,0,Nepal,True,AFC Asian Cup qualification,2022
2022-06-08,Philippines,0,0,Yemen,True,AFC Asian Cup qualification,2022
2022-06-08,Mongolia,0,1,Palestine,False,AFC Asian Cup qualification,2022
2022-06-08,Thailand,3,0,Maldives,True,AFC Asian Cup qualification,2022
2022-06-08,Uzbekistan,3,0,Sri Lanka,False,AFC Asian Cup qualification,2022
2022-06-08,Hong Kong,2,1,Afghanistan,True,AFC Asian Cup qualification,2022
2022-06-08,India,2,0,Cambodia,False,AFC Asian Cup qualification,2022
2022-06-08,Bahrain,2,0,Bangladesh,True,AFC Asian Cup qualification,2022
2022-06-08,Malaysia,3,1,Turkmenistan,False,AFC Asian Cup qualification,2022
2022-06-08,Tajikistan,4,0,Myanmar,True,AFC Asian Cup qualification,2022
2022-06-08,Kyrgyzstan,2,1,Singapore,False,AFC Asian Cup qualification,2022
2022-06-11,Kuwait,4,1,Nepal,False,AFC Asian Cup qualification,2022
2022-06-11,Indonesia,0,1,Jordan,True,AFC Asian Cup qualification,2022
2022-06-11,Mongolia,0,1,Philippines,False,AFC Asian Cup qualification,2022
2022-06-11,Yemen,0,5,Palestine,True,AFC Asian Cup qualification,2022
2022-06-11,Sri Lanka,0,2,Thailand,True,AFC Asian Cup qualification,2022
2022-06-11,Uzbekistan,4,0,Maldives,False,AFC Asian Cup qualification,2022
2022-06-11,Cambodia,0,3,Hong Kong,True,AFC Asian Cup qualification,2022
2022-06-11,India,2,1,Afghanistan,False,AFC Asian Cup qualification,2022
2022-06-11,Bangladesh,1,2,Turkmenistan,True,AFC Asian Cup qualification,2022
2022-06-11,Malaysia,1,2,Bahrain,False,AFC Asian Cup qualification,2022
2022-06-11,Singapore,0,1,Tajikistan,True,AFC Asian Cup qualification,2022
2022-06-11,Kyrgyzstan,2,0,Myanmar,False,AFC Asian Cup qualification,2022
2022-06-14,Kuwait,0,3,Jordan,False,AFC Asian Cup qualification,2022
2022-06-14,Indonesia,7,0,Nepal,True,AFC Asian Cup qualification,2022
2022-06-14,Palestine,4,0,Philippines,True,AFC Asian Cup qualification,2022
2022-06-14,Mongolia,2,0,Yemen,False,AFC Asian Cup qualification,2022
2022-06-14,Maldives,1,0,Sri Lanka,True,AFC Asian Cup qualification,2022
2022-06-14,Uzbekistan,2,0,Thailand,False,AFC Asian Cup qualification,2022
2022-06-14,Afghanistan,2,2,Cambodia,True,AFC Asian Cup qualification,2022
2022-06-14,India,4,0,Hong Kong,False,AFC Asian Cup qualification,2022
2022-06-14,Bahrain,1,0,Turkmenistan,True,AFC Asian Cup qualification,2022
2022-06-14,Malaysia,4,1,Bangladesh,False,AFC Asian Cup qualification,2022
2022-06-14,Myanmar,2,6,Singapore,True,AFC Asian Cup qualification,2022
2022-06-14,Kyrgyzstan,0,0,Tajikistan,False,AFC Asian Cup qualification,2022
2024-09-05,Sri Lanka,0,0,Cambodia,False,AFC Asian Cup qualification,2024
2024-09-05,Timor-Leste,4,1,Mongolia,True,AFC Asian Cup qualification,2024
2024-09-06,Brunei,3,0,Macau,False,AFC Asian Cup qualification,2024
2024-09-10,Cambodia,2,2,Sri Lanka,False,AFC Asian Cup qualification,2024
2024-09-10,Macau,0,1,Brunei,False,AFC Asian Cup qualification,2024
2024-09-10,Mongolia,2,0,Timor-Leste,False,AFC Asian Cup qualification,2024
1956-09-01,Hong Kong,2,3,Israel,False,AFC Asian Cup,1956
1956-09-06,Hong Kong,2,2,South Korea,False,AFC Asian Cup,1956
1956-09-08,Israel,1,2,South Korea,True,AFC Asian Cup,1956
1956-09-09,Hong Kong,2,2,Vietnam Republic,False,AFC Asian Cup,1956
1956-09-12,Israel,2,1,Vietnam Republic,True,AFC Asian Cup,1956
1956-09-15,South Korea,5,3,Vietnam Republic,True,AFC Asian Cup,1956
1960-10-14,South Korea,5,1,Vietnam Republic,False,AFC Asian Cup,1960
1960-10-16,Taiwan,2,0,Vietnam Republic,True,AFC Asian Cup,1960
1960-10-17,South Korea,3,0,Israel,False,AFC Asian Cup,1960
1960-10-19,Israel,5,1,Vietnam Republic,True,AFC Asian Cup,1960
1960-10-21,South Korea,1,0,Taiwan,False,AFC Asian Cup,1960
1960-10-23,Israel,1,0,Taiwan,True,AFC Asian Cup,1960
1964-05-26,Israel,1,0,Hong Kong,False,AFC Asian Cup,1964
1964-05-27,India,2,0,South Korea,True,AFC Asian Cup,1964
1964-05-29,Israel,2,0,India,False,AFC Asian Cup,1964
1964-05-30,Hong Kong,0,1,South Korea,True,AFC Asian Cup,1964
1964-06-02,Hong Kong,1,3,India,True,AFC Asian Cup,1964
1964-06-03,Israel,2,1,South Korea,False,AFC Asian Cup,1964
1968-05-10,Iran,2,0,Hong Kong,False,AFC Asian Cup,1968
1968-05-11,Myanmar,1,1,Taiwan,True,AFC Asian Cup,1968
1968-05-12,Hong Kong,1,6,Israel,True,AFC Asian Cup,1968
1968-05-13,Iran,4,0,Taiwan,False,AFC Asian Cup,1968
1968-05-14,Myanmar,1,0,Israel,True,AFC Asian Cup,1968
1968-05-15,Hong Kong,1,1,Taiwan,True,AFC Asian Cup,1968
1968-05-16,Iran,3,1,Myanmar,False,AFC Asian Cup,1968
1968-05-17,Israel,4,1,Taiwan,True,AFC Asian Cup,1968
1968-05-18,Myanmar,2,0,Hong Kong,True,AFC Asian Cup,1968
1968-05-19,Iran,2,1,Israel,False,AFC Asian Cup,1968
1972-05-07,Iran,2,0,Cambodia,True,AFC Asian Cup,1972
1972-05-07,South Korea,0,0,Iraq,True,AFC Asian Cup,1972
1972-05-08,Thailand,0,2,Kuwait,False,AFC Asian Cup,1972
1972-05-09,Iran,3,0,Iraq,True,AFC Asian Cup,1972
1972-05-10,Cambodia,1,4,South Korea,True,AFC Asian Cup,1972
1972-05-11,Thailand,1,1,Iraq,False,AFC Asian Cup,1972
1972-05-12,South Korea,1,2,Kuwait,True,AFC Asian Cup,1972
1972-05-13,Thailand,2,3,Iran,False,AFC Asian Cup,1972
1972-05-14,Cambodia,4,0,Kuwait,True,AFC Asian Cup,1972
1972-05-16,Iran,2,1,Cambodia,True,AFC Asian Cup,1972
1972-05-17,Thailand,1,1,South Korea,False,AFC Asian Cup,1972
1972-05-19,Iran,2,1,South Korea,True,AFC Asian Cup,1972
1972-05-19,Thailand,2,2,Cambodia,False,AFC Asian Cup,1972
1976-06-03,Kuwait,2,0,Malaysia,True,AFC Asian Cup,1976
1976-06-04,Iran,2,0,Iraq,False,AFC Asian Cup,1976
1976-06-05,China PR,1,1,Malaysia,True,AFC Asian Cup,1976
1976-06-06,Iraq,1,0,Yemen DPR,True,AFC Asian Cup,1976
1976-06-07,China PR,0,1,Kuwait,True,AFC Asian Cup,1976
1976-06-08,Iran,8,0,Yemen DPR,False,AFC Asian Cup,1976
1976-06-11,Iran,2,0,China PR,False,AFC Asian Cup,1976
1976-06-11,Iraq,2,3,Kuwait,True,AFC Asian Cup,1976
1976-06-13,China PR,1,0,Iraq,True,AFC Asian Cup,1976
1976-06-13,Iran,1,0,Kuwait,False,AFC Asian Cup,1976
1980-09-15,Kuwait,1,1,United Arab Emirates,False,AFC Asian Cup,1980
1980-09-16,North Korea,3,2,Bangladesh,True,AFC Asian Cup,1980
1980-09-16,Malaysia,1,1,South Korea,True,AFC Asian Cup,1980
1980-09-17,Iran,0,0,Syria,True,AFC Asian Cup,1980
1980-09-17,Qatar,2,1,United Arab Emirates,True,AFC Asian Cup,1980
1980-09-18,North Korea,2,1,China PR,True,AFC Asian Cup,1980
1980-09-18,Kuwait,3,1,Malaysia,False,AFC Asian Cup,1980
1980-09-19,Bangladesh,0,1,Syria,True,AFC Asian Cup,1980
1980-09-19,Qatar,0,2,South Korea,True,AFC Asian Cup,1980
1980-09-20,China PR,2,2,Iran,True,AFC Asian Cup,1980
1980-09-20,United Arab Emirates,0,2,Malaysia,True,AFC Asian Cup,1980
1980-09-21,Kuwait,0,3,South Korea,False,AFC Asian Cup,1980
1980-09-22,Bangladesh,0,7,Iran,True,AFC Asian Cup,1980
1980-09-23,Malaysia,1,1,Qatar,True,AFC Asian Cup,1980
1980-09-23,Syria,1,0,China PR,True,AFC Asian Cup,1980
1980-09-24,Iran,3,2,North Korea,True,AFC Asian Cup,1980
1980-09-24,South Korea,4,1,United Arab Emirates,True,AFC Asian Cup,1980
1980-09-25,China PR,6,0,Bangladesh,True,AFC Asian Cup,1980
1980-09-25,Kuwait,4,0,Qatar,False,AFC Asian Cup,1980
1980-09-26,Syria,1,2,North Korea,True,AFC Asian Cup,1980
1980-09-28,South Korea,2,1,North Korea,True,AFC Asian Cup,1980
1980-09-28,Kuwait,2,1,Iran,False,AFC Asian Cup,1980
1980-09-29,Iran,3,0,North Korea,True,AFC Asian Cup,1980
1980-09-30,Kuwait,3,0,South Korea,False,AFC Asian Cup,1980
1984-12-01,Iran,3,0,United Arab Emirates,True,AFC Asian Cup,1984
1984-12-01,Qatar,1,1,Syria,True,AFC Asian Cup,1984
1984-12-02,Saudi Arabia,1,1,South Korea,True,AFC Asian Cup,1984
1984-12-02,Singapore,2,0,India,False,AFC Asian Cup,1984
1984-12-03,China PR,0,2,Iran,True,AFC Asian Cup,1984
1984-12-03,Kuwait,1,0,Qatar,True,AFC Asian Cup,1984
1984-12-04,Syria,0,1,Saudi Arabia,True,AFC Asian Cup,1984
1984-12-04,United Arab Emirates,2,0,India,True,AFC Asian Cup,1984
1984-12-05,South Korea,0,0,Kuwait,True,AFC Asian Cup,1984
1984-12-05,Singapore,0,2,China PR,False,AFC Asian Cup,1984
1984-12-07,Iran,0,0,India,True,AFC Asian Cup,1984
1984-12-07,Syria,1,0,South Korea,True,AFC Asian Cup,1984
1984-12-08,Qatar,1,1,Saudi Arabia,True,AFC Asian Cup,1984
1984-12-08,Singapore,0,1,United Arab Emirates,False,AFC Asian Cup,1984
1984-12-09,India,0,3,China PR,True,AFC Asian Cup,1984
1984-12-09,Kuwait,3,1,Syria,True,AFC Asian Cup,1984
1984-12-10,South Korea,0,1,Qatar,True,AFC Asian Cup,1984
1984-12-10,Singapore,1,1,Iran,False,AFC Asian Cup,1984
1984-12-11,China PR,5,0,United Arab Emirates,True,AFC Asian Cup,1984
1984-12-11,Saudi Arabia,1,0,Kuwait,True,AFC Asian Cup,1984
1984-12-13,Saudi Arabia,1,1,Iran,True,AFC Asian Cup,1984
1984-12-14,Kuwait,0,1,China PR,True,AFC Asian Cup,1984
1984-12-16,Iran,1,1,Kuwait,True,AFC Asian Cup,1984
1984-12-16,Saudi Arabia,2,0,China PR,True,AFC Asian Cup,1984
1988-12-02,Qatar,0,2,Iran,False,AFC Asian Cup,1988
1988-12-02,Syria,0,2,Saudi Arabia,True,AFC Asian Cup,1988
1988-12-03,Kuwait,0,0,Bahrain,True,AFC Asian Cup,1988
1988-12-03,United Arab Emirates,0,1,South Korea,True,AFC Asian Cup,1988
1988-12-04,China PR,3,0,Syria,True,AFC Asian Cup,1988
1988-12-04,Japan,0,0,Iran,True,AFC Asian Cup,1988
1988-12-05,Qatar,2,1,United Arab Emirates,False,AFC Asian Cup,1988
1988-12-05,Saudi Arabia,0,0,Kuwait,True,AFC Asian Cup,1988
1988-12-06,Bahrain,0,1,China PR,True,AFC Asian Cup,1988
1988-12-06,South Korea,2,0,Japan,True,AFC Asian Cup,1988
1988-12-08,Iran,1,0,United Arab Emirates,True,AFC Asian Cup,1988
1988-12-08,Syria,1,0,Kuwait,True,AFC Asian Cup,1988
1988-12-09,Qatar,2,3,South Korea,False,AFC Asian Cup,1988
1988-12-09,Saudi Arabia,1,1,Bahrain,True,AFC Asian Cup,1988
1988-12-10,Kuwait,2,2,China PR,True,AFC Asian Cup,1988
1988-12-10,United Arab Emirates,1,0,Japan,True,AFC Asian Cup,1988
1988-12-11,Bahrain,0,1,Syria,True,AFC Asian Cup,1988
1988-12-11,South Korea,3,0,Iran,True,AFC Asian Cup,1988
1988-12-12,China PR,0,1,Saudi Arabia,True,AFC Asian Cup,1988
1988-12-12,Qatar,3,0,Japan,False,AFC Asian Cup,1988
1988-12-14,South Korea,2,1,China PR,True,AFC Asian Cup,1988
1988-12-15,Saudi Arabia,1,0,Iran,True,AFC Asian Cup,1988
1988-12-17,China PR,0,0,Iran,True,AFC Asian Cup,1988
1988-12-18,South Korea,0,0,Saudi Arabia,True,AFC Asian Cup,1988
1992-10-29,Qatar,1,1,Thailand,True,AFC Asian Cup,1992
1992-10-29,Saudi Arabia,1,1,China PR,True,AFC Asian Cup,1992
1992-10-30,Japan,0,0,United Arab Emirates,False,AFC Asian Cup,1992
1992-10-30,North Korea,0,2,Iran,True,AFC Asian Cup,1992
1992-10-31,China PR,0,0,Thailand,True,AFC Asian Cup,1992
1992-10-31,Saudi Arabia,1,1,Qatar,True,AFC Asian Cup,1992
1992-11-01,Japan,1,1,North Korea,False,AFC Asian Cup,1992
1992-11-01,United Arab Emirates,0,0,Iran,True,AFC Asian Cup,1992
1992-11-02,China PR,2,1,Qatar,True,AFC Asian Cup,1992
1992-11-02,Saudi Arabia,4,0,Thailand,True,AFC Asian Cup,1992
1992-11-03,Japan,1,0,Iran,False,AFC Asian Cup,1992
1992-11-03,United Arab Emirates,2,1,North Korea,True,AFC Asian Cup,1992
1992-11-06,Japan,3,2,China PR,False,AFC Asian Cup,1992
1992-11-06,Saudi Arabia,2,0,United Arab Emirates,True,AFC Asian Cup,1992
1992-11-08,China PR,1,1,United Arab Emirates,True,AFC Asian Cup,1992
1992-11-08,Japan,1,0,Saudi Arabia,False,AFC Asian Cup,1992
1996-12-04,Indonesia,2,2,Kuwait,True,AFC Asian Cup,1996
1996-12-04,United Arab Emirates,1,1,South Korea,False,AFC Asian Cup,1996
1996-12-05,Iran,1,2,Iraq,True,AFC Asian Cup,1996
1996-12-05,Saudi Arabia,6,0,Thailand,True,AFC Asian Cup,1996
1996-12-06,China PR,0,2,Uzbekistan,True,AFC Asian Cup,1996
1996-12-06,Japan,2,1,Syria,True,AFC Asian Cup,1996
1996-12-07,South Korea,4,2,Indonesia,True,AFC Asian Cup,1996
1996-12-07,United Arab Emirates,3,2,Kuwait,False,AFC Asian Cup,1996
1996-12-08,Saudi Arabia,1,0,Iraq,True,AFC Asian Cup,1996
1996-12-08,Thailand,1,3,Iran,True,AFC Asian Cup,1996
1996-12-09,Japan,4,0,Uzbekistan,True,AFC Asian Cup,1996
1996-12-09,Syria,0,3,China PR,True,AFC Asian Cup,1996
1996-12-10,Kuwait,2,0,South Korea,True,AFC Asian Cup,1996
1996-12-10,United Arab Emirates,2,0,Indonesia,False,AFC Asian Cup,1996
1996-12-11,Iraq,4,1,Thailand,True,AFC Asian Cup,1996
1996-12-11,Saudi Arabia,0,3,Iran,True,AFC Asian Cup,1996
1996-12-12,Japan,1,0,China PR,True,AFC Asian Cup,1996
1996-12-12,Uzbekistan,1,2,Syria,True,AFC Asian Cup,1996
1996-12-15,Kuwait,2,0,Japan,True,AFC Asian Cup,1996
1996-12-15,United Arab Emirates,1,0,Iraq,False,AFC Asian Cup,1996
1996-12-16,South Korea,2,6,Iran,True,AFC Asian Cup,1996
1996-12-16,Saudi Arabia,4,3,China PR,True,AFC Asian Cup,1996
1996-12-19,Iran,0,0,Saudi Arabia,True,AFC Asian Cup,1996
1996-12-19,United Arab Emirates,1,0,Kuwait,False,AFC Asian Cup,1996
1996-12-21,Iran,1,1,Kuwait,True,AFC Asian Cup,1996
1996-12-21,United Arab Emirates,0,0,Saudi Arabia,False,AFC Asian Cup,1996
2000-10-12,Iraq,2,0,Thailand,True,AFC Asian Cup,2000
2000-10-12,Lebanon,0,4,Iran,False,AFC Asian Cup,2000
2000-10-13,South Korea,2,2,China PR,True,AFC Asian Cup,2000
2000-10-13,Kuwait,0,0,Indonesia,True,AFC Asian Cup,2000
2000-10-14,Qatar,1,1,Uzbekistan,True,AFC Asian Cup,2000
2000-10-14,Saudi Arabia,1,4,Japan,True,AFC Asian Cup,2000
2000-10-15,Iran,1,1,Thailand,True,AFC Asian Cup,2000
2000-10-15,Lebanon,2,2,Iraq,False,AFC Asian Cup,2000
2000-10-16,China PR,4,0,Indonesia,True,AFC Asian Cup,2000
2000-10-16,South Korea,0,1,Kuwait,True,AFC Asian Cup,2000
2000-10-17,Japan,8,1,Uzbekistan,True,AFC Asian Cup,2000
2000-10-17,Saudi Arabia,0,0,Qatar,True,AFC Asian Cup,2000
2000-10-18,Iran,1,0,Iraq,True,AFC Asian Cup,2000
2000-10-18,Lebanon,1,1,Thailand,False,AFC Asian Cup,2000
2000-10-19,China PR,0,0,Kuwait,True,AFC Asian Cup,2000
2000-10-19,South Korea,3,0,Indonesia,True,AFC Asian Cup,2000
2000-10-20,Japan,1,1,Qatar,True,AFC Asian Cup,2000
2000-10-20,Saudi Arabia,5,0,Uzbekistan,True,AFC Asian Cup,2000
2000-10-23,China PR,3,1,Qatar,True,AFC Asian Cup,2000
2000-10-23,Iran,1,2,South Korea,True,AFC Asian Cup,2000
2000-10-24,Japan,4,1,Iraq,True,AFC Asian Cup,2000
2000-10-24,Kuwait,2,3,Saudi Arabia,True,AFC Asian Cup,2000
2000-10-26,China PR,2,3,Japan,True,AFC Asian Cup,2000
2000-10-26,South Korea,1,2,Saudi Arabia,True,AFC Asian Cup,2000
2000-10-29,China PR,0,1,South Korea,True,AFC Asian Cup,2000
2000-10-29,Japan,1,0,Saudi Arabia,True,AFC Asian Cup,2000
2004-07-17,China PR,2,2,Bahrain,False,AFC Asian Cup,2004
2004-07-18,Iraq,0,1,Uzbekistan,True,AFC Asian Cup,2004
2004-07-18,Qatar,1,2,Indonesia,True,AFC Asian Cup,2004
2004-07-18,Saudi Arabia,2,2,Turkmenistan,True,AFC Asian Cup,2004
2004-07-19,South Korea,0,0,Jordan,True,AFC Asian Cup,2004
2004-07-19,Kuwait,3,1,United Arab Emirates,True,AFC Asian Cup,2004
2004-07-20,Iran,3,0,Thailand,True,AFC Asian Cup,2004
2004-07-20,Japan,1,0,Oman,True,AFC Asian Cup,2004
2004-07-21,Bahrain,1,1,Qatar,True,AFC Asian Cup,2004
2004-07-21,China PR,5,0,Indonesia,False,AFC Asian Cup,2004
2004-07-22,Turkmenistan,2,3,Iraq,True,AFC Asian Cup,2004
2004-07-22,Uzbekistan,1,0,Saudi Arabia,True,AFC Asian Cup,2004
2004-07-23,Jordan,2,0,Kuwait,True,AFC Asian Cup,2004
2004-07-23,United Arab Emirates,0,2,South Korea,True,AFC Asian Cup,2004
2004-07-24,Oman,2,2,Iran,True,AFC Asian Cup,2004
2004-07-24,Thailand,1,4,Japan,True,AFC Asian Cup,2004
2004-07-25,Bahrain,3,1,Indonesia,True,AFC Asian Cup,2004
2004-07-25,China PR,1,0,Qatar,False,AFC Asian Cup,2004
2004-07-26,Saudi Arabia,1,2,Iraq,True,AFC Asian Cup,2004
2004-07-26,Turkmenistan,0,1,Uzbekistan,True,AFC Asian Cup,2004
2004-07-27,Jordan,0,0,United Arab Emirates,True,AFC Asian Cup,2004
2004-07-27,South Korea,4,0,Kuwait,True,AFC Asian Cup,2004
2004-07-28,Japan,0,0,Iran,True,AFC Asian Cup,2004
2004-07-28,Oman,2,0,Thailand,True,AFC Asian Cup,2004
2004-07-30,China PR,3,0,Iraq,False,AFC Asian Cup,2004
2004-07-30,Uzbekistan,2,2,Bahrain,True,AFC Asian Cup,2004
2004-07-31,Japan,1,1,Jordan,True,AFC Asian Cup,2004
2004-07-31,South Korea,3,4,Iran,True,AFC Asian Cup,2004
2004-08-03,Bahrain,3,4,Japan,True,AFC Asian Cup,2004
2004-08-03,China PR,1,1,Iran,False,AFC Asian Cup,2004
2004-08-06,Iran,4,2,Bahrain,True,AFC Asian Cup,2004
2004-08-07,China PR,1,3,Japan,False,AFC Asian Cup,2004
2007-07-07,Thailand,1,1,Iraq,False,AFC Asian Cup,2007
2007-07-08,Australia,1,1,Oman,True,AFC Asian Cup,2007
2007-07-08,Vietnam,2,0,United Arab Emirates,False,AFC Asian Cup,2007
2007-07-09,Japan,1,1,Qatar,True,AFC Asian Cup,2007
2007-07-10,Indonesia,2,1,Bahrain,False,AFC Asian Cup,2007
2007-07-10,Malaysia,1,5,China PR,False,AFC Asian Cup,2007
2007-07-11,Iran,2,1,Uzbekistan,True,AFC Asian Cup,2007
2007-07-11,South Korea,1,1,Saudi Arabia,True,AFC Asian Cup,2007
2007-07-12,Thailand,2,0,Oman,False,AFC Asian Cup,2007
2007-07-12,Vietnam,1,1,Qatar,False,AFC Asian Cup,2007
2007-07-13,Iraq,3,1,Australia,True,AFC Asian Cup,2007
2007-07-13,United Arab Emirates,1,3,Japan,True,AFC Asian Cup,2007
2007-07-14,Indonesia,1,2,Saudi Arabia,False,AFC Asian Cup,2007
2007-07-14,Malaysia,0,5,Uzbekistan,False,AFC Asian Cup,2007
2007-07-15,Bahrain,2,1,South Korea,True,AFC Asian Cup,2007
2007-07-15,China PR,2,2,Iran,True,AFC Asian Cup,2007
2007-07-16,Oman,0,0,Iraq,True,AFC Asian Cup,2007
2007-07-16,Qatar,1,2,United Arab Emirates,True,AFC Asian Cup,2007
2007-07-16,Thailand,0,4,Australia,False,AFC Asian Cup,2007
2007-07-16,Vietnam,1,4,Japan,False,AFC Asian Cup,2007
2007-07-18,Indonesia,0,1,South Korea,False,AFC Asian Cup,2007
2007-07-18,Malaysia,0,2,Iran,False,AFC Asian Cup,2007
2007-07-18,Saudi Arabia,4,0,Bahrain,True,AFC Asian Cup,2007
2007-07-18,Uzbekistan,3,0,China PR,True,AFC Asian Cup,2007
2007-07-21,Iraq,2,0,Vietnam,True,AFC Asian Cup,2007
2007-07-21,Japan,1,1,Australia,True,AFC Asian Cup,2007
2007-07-22,Iran,0,0,South Korea,True,AFC Asian Cup,2007
2007-07-22,Saudi Arabia,2,1,Uzbekistan,True,AFC Asian Cup,2007
2007-07-25,Iraq,0,0,South Korea,True,AFC Asian Cup,2007
2007-07-25,Japan,2,3,Saudi Arabia,True,AFC Asian Cup,2007
2007-07-28,South Korea,0,0,Japan,True,AFC Asian Cup,2007
2007-07-29,Iraq,1,0,Saudi Arabia,True,AFC Asian Cup,2007
2011-01-07,Qatar,0,2,Uzbekistan,False,AFC Asian Cup,2011
2011-01-08,Kuwait,0,2,China PR,True,AFC Asian Cup,2011
2011-01-09,Japan,1,1,Jordan,True,AFC Asian Cup,2011
2011-01-09,Saudi Arabia,1,2,Syria,True,AFC Asian Cup,2011
2011-01-10,India,0,4,Australia,True,AFC Asian Cup,2011
2011-01-10,South Korea,2,1,Bahrain,True,AFC Asian Cup,2011
2011-01-11,Iraq,1,2,Iran,True,AFC Asian Cup,2011
2011-01-11,North Korea,0,0,United Arab Emirates,True,AFC Asian Cup,2011
2011-01-12,Qatar,2,0,China PR,False,AFC Asian Cup,2011
2011-01-12,Uzbekistan,2,1,Kuwait,True,AFC Asian Cup,2011
2011-01-13,Jordan,1,0,Saudi Arabia,True,AFC Asian Cup,2011
2011-01-13,Syria,1,2,Japan,True,AFC Asian Cup,2011
2011-01-14,Australia,1,1,South Korea,True,AFC Asian Cup,2011
2011-01-14,Bahrain,5,2,India,True,AFC Asian Cup,2011
2011-01-15,Iran,1,0,North Korea,True,AFC Asian Cup,2011
2011-01-15,United Arab Emirates,0,1,Iraq,True,AFC Asian Cup,2011
2011-01-16,China PR,2,2,Uzbekistan,True,AFC Asian Cup,2011
2011-01-16,Qatar,3,0,Kuwait,False,AFC Asian Cup,2011
2011-01-17,Jordan,2,1,Syria,True,AFC Asian Cup,2011
2011-01-17,Saudi Arabia,0,5,Japan,True,AFC Asian Cup,2011
2011-01-18,Australia,1,0,Bahrain,True,AFC Asian Cup,2011
2011-01-18,South Korea,4,1,India,True,AFC Asian Cup,2011
2011-01-19,Iraq,1,0,North Korea,True,AFC Asian Cup,2011
2011-01-19,United Arab Emirates,0,3,Iran,True,AFC Asian Cup,2011
2011-01-21,Qatar,2,3,Japan,False,AFC Asian Cup,2011
2011-01-21,Uzbekistan,2,1,Jordan,True,AFC Asian Cup,2011
2011-01-22,Australia,1,0,Iraq,True,AFC Asian Cup,2011
2011-01-22,Iran,0,1,South Korea,True,AFC Asian Cup,2011
2011-01-25,Japan,2,2,South Korea,True,AFC Asian Cup,2011
2011-01-25,Uzbekistan,0,6,Australia,True,AFC Asian Cup,2011
2011-01-28,Uzbekistan,2,3,South Korea,True,AFC Asian Cup,2011
2011-01-29,Australia,0,1,Japan,True,AFC Asian Cup,2011
2015-01-09,Australia,4,1,Kuwait,False,AFC Asian Cup,2015
2015-01-10,South Korea,1,0,Oman,True,AFC Asian Cup,2015
